,Lat,Lon,h'
963,-27.012557248323645,-42.33999727235139,2239.860339151146
964,-26.984540510655407,-42.21005041290347,2240.304619997585
965,-26.956404662625978,-42.08016838410405,2240.748519232242
966,-26.928149908294582,-41.95035134921568,2241.192034810896
967,-26.899776452262433,-41.820599469791595,2241.635164690475
968,-26.871284499667972,-41.69091290567587,2242.0779068290813
969,-26.84267425618213,-41.561291815003536,2242.520259185985
970,-26.81394592800357,-41.431736354200766,2242.9622197216504
971,-26.78509972185394,-41.3022466779851,2243.4037863977373
972,-26.756135844973183,-41.17282293936597,2243.8449571771125
973,-26.72705450511476,-41.04346528964499,2244.285730023872
974,-26.69785591054098,-40.914173878416484,2244.726102903336
975,-26.668540270018255,-40.78494885356812,2245.1660737820694
976,-26.639107792812425,-40.6557903612814,2245.6056406278876
977,-26.60955868868404,-40.52669854603251,2246.0448014098747
978,-26.579893167883693,-40.397673550593076,2246.483554098393
979,-26.550111441147354,-40.268715516030944,2246.9218966650787
980,-26.520213719691643,-40.13982458171114,2247.359827082879
981,-26.490200215209224,-40.0110008852968,2247.797343326043
982,-26.460071139864155,-39.88224456275028,2248.234443370142
983,-26.42982670628719,-39.75355574833424,2248.6711251920715
984,-26.39946712757122,-39.624934574612844,2249.107386770078
985,-26.36899261726658,-39.49638117245291,2249.5432260837515
986,-26.338403389376463,-39.36789567102533,2249.978641114052
987,-26.307699658352337,-39.23947819780642,2250.4136298433095
988,-26.276881639089314,-39.111128878579294,2250.848190255241
989,-26.24594954692159,-38.98284783743547,2251.2823203349635
990,-26.214903597617834,-38.85463519677626,2251.716018068997
991,-26.183744007376678,-38.72649107731459,2252.149281445276
992,-26.152470992822124,-38.59841559807658,2252.5821084531763
993,-26.12108477099902,-38.47040887640331,2253.014497083508
994,-26.089585559368516,-38.34247102795263,2253.446445328531
995,-26.05797357580355,-38.214602166701,2253.8779511819685
996,-26.02624903858435,-38.08680240494549,2254.3090126390216
997,-25.99441216639392,-37.95907185330569,2254.7396276963736
998,-25.962463178313573,-37.83141062072579,2255.1697943522013
999,-25.930402293818457,-37.703818814476776,2255.599510606193
1000,-25.89822973277306,-37.576296540158346,2256.02877445955
1001,-25.86594571542682,-37.44884390170141,2256.4575839150075
1002,-25.833550462409647,-37.32146100137019,2256.885936976838
1003,-25.801044194727517,-37.19414793976465,2257.313831650865
1004,-25.768427133758053,-37.06690481582278,2257.7412659444763
1005,-25.73569950124615,-36.93973172682312,2258.16823786663
1006,-25.702861519299557,-36.81262876838729,2258.594745427872
1007,-25.669913410384545,-36.68559603448243,2259.02078664034
1008,-25.636855397321533,-36.558633617423894,2259.4463595177804
1009,-25.603687703280713,-36.43174160787784,2259.871462075558
1010,-25.57041055177779,-36.30492009486402,2260.2960923306637
1011,-25.537024166669624,-36.178169165758526,2260.72024830173
1012,-25.50352877214992,-36.05148890629652,2261.14392800904
1013,-25.469924592744974,-35.924879400575215,2261.5671294745352
1014,-25.436211853309374,-35.79834073105668,2261.989850721837
1015,-25.40239077902175,-35.67187297857092,2262.412089776244
1016,-25.368461595380563,-35.5454762223188,2262.833844664752
1017,-25.33442452819981,-35.419150539875154,2263.255113416066
1018,-25.300279803604877,-35.29289600719186,2263.675894060605
1019,-25.2660276480283,-35.166712698601025,2264.096184630518
1020,-25.231668288205608,-35.04060068681823,2264.51598315969
1021,-25.19720195117114,-34.91456004294571,2264.93528768376
1022,-25.16262886425391,-34.78859083647567,2265.3540962401275
1023,-25.12794925507344,-34.662693135293644,2265.7724068679654
1024,-25.093163351535672,-34.536867005681906,2266.1902176082294
1025,-25.05827138182885,-34.411112512322866,2266.6075265036725
1026,-25.023273574419452,-34.28542971830259,2267.0243315988428
1027,-24.988170158048078,-34.15981868511424,2267.440630940124
1028,-24.952961361725396,-34.03427947266171,2267.8564225757127
1029,-24.917647414728187,-33.90881213926324,2268.2717045556474
1030,-24.882228546595197,-33.783416741654996,2268.686474931823
1031,-24.846704987123218,-33.65809333499484,2269.100731757988
1032,-24.811076966363085,-33.53284197286601,2269.51447308977
1033,-24.775344714615652,-33.40766270728085,2269.927696984676
1034,-24.739508462427903,-33.282555588684744,2270.340401502108
1035,-24.703568440588985,-33.15752066595981,2270.752584703374
1036,-24.667524880126273,-33.03255798642898,2271.1642446517
