,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
356,2.239053022378311,-6.451375282111183,0.21604672499034372,6.454991806192647,[-3.26383344  3.48367592],[3.18754184 3.26762919],517.0355078695673
357,2.2453424971602725,-6.422708587026971,0.21472450766892726,6.426296928096589,[-3.25105596  3.46235564],[3.17165262 3.24763113],517.7708731199688
358,2.251631971942234,-6.393791179503483,0.21340892387353305,6.397351718944755,[-3.23815323  3.44114232],[3.15563795 3.22773339],518.5058335726908
359,2.2579214467241955,-6.364624822165971,0.21210002564518504,6.368157939923436,[-3.22512638  3.4200368 ],[3.13949844 3.20793678],519.2403855708612
360,2.264210921506157,-6.3352112949855215,0.21079786476044982,6.338717369618218,[-3.21197655  3.39903993],[3.12323474 3.18824206],519.9745253100102
361,2.2705003962881185,-6.30555239550308,0.20950249272937205,6.309031804238622,[-3.1987049   3.37815252],[3.1068475  3.16865003],520.7082488345036
362,2.27678987107008,-6.275649939061444,0.20821396079345744,6.279103057850795,[-3.18531259  3.3573754 ],[3.09033735 3.14916144],521.4415520338338
363,2.2830793458520415,-6.2455057590455825,0.20693231992362815,6.2489329626185395,[-3.17180079  3.3367094 ],[3.07370496 3.12977708],522.1744306387626
364,2.289368820634003,-6.2151217071316385,0.20565762081821992,6.2185233690530985,[-3.15817072  3.31615534],[3.05695099 3.11049772],522.9068802173139
365,2.295658295415965,-6.184499653545011,0.20438991390096328,6.187876146272063,[-3.14442357  3.29571402],[3.04007609 3.09132411],523.6388961706057
366,2.3019477701979265,-6.15364148732792,0.2031292493190051,6.156993182267808,[-3.13056056  3.27538626],[3.02308093 3.07225701],524.37047372852
367,2.308237244979888,-6.12254911661684,0.20187567694090802,6.125876384185857,[-3.11658293  3.25517285],[3.00596619 3.05329717],525.1016079452029
368,2.3145267197618495,-6.091224468930282,0.20062924635469104,6.094527678613646,[-3.10249194  3.2350746 ],[2.98873253 3.03444536],525.8322936943871
369,2.320816194543811,-6.059669491467325,0.19939000686585961,6.062949011880097,[-3.08828884  3.21509231],[2.97138066 3.01570231],526.5625256645328
370,2.3271056693257726,-6.027886151417409,0.1981580074954592,6.0311423503665,[-3.07397491  3.19522676],[2.95391124 2.99706876],527.2922983537783
371,2.333395144107734,-5.995876436281832,0.19693329697813988,5.999109680829181,[-3.05955147  3.17547875],[2.93632497 2.97854545],528.0216060646935
372,2.3396846188896956,-5.963642354207487,0.19571592376021263,5.966853010734447,[-3.0450198   3.15584904],[2.91862255 2.96013312],528.7504428988292
373,2.345974093671657,-5.931185934333363,0.19450593599775656,5.934374368606373,[-3.03038126  3.13633842],[2.90080468 2.94183249],529.4788027510533
374,2.3522635684536186,-5.898509227150347,0.19330338155469518,5.901675804387959,[-3.01563717  3.11694766],[2.88287206 2.92364428],530.2066793036687
375,2.35855304323558,-5.865614304874898,0.19210830800091117,5.868759389816216,[-3.00078891  3.09767753],[2.86482539 2.90556922],530.9340660202982
376,2.3648425180175416,-5.832503261837195,0.19092076261036084,5.8356272188118075,[-2.98583785  3.07852879],[2.84666541 2.88760803],531.6609561395364
377,2.371131992799503,-5.799178214884366,0.1897407923592076,5.802281407883844,[-2.9707854   3.05950219],[2.82839282 2.8697614 ],532.3873426683491
378,2.377421467581465,-5.765641303799463,0.18856844392396477,5.768724096550491,[-2.95563296  3.04059849],[2.81000834 2.85203005],533.1132183752204
379,2.3837109423634266,-5.731894691736816,0.18740376367964418,5.73495744777605,[-2.94038198  3.02181844],[2.79151271 2.83441468],533.8385757830297
380,2.390000417145388,-5.697940565674481,0.18624679769792163,5.700983648425204,[-2.92503391  3.00316278],[2.77290665 2.81691598],534.5634071616533
381,2.3962898919273496,-5.663781136884516,0.1850975917453237,5.666804909735184,[-2.90959023  2.98463225],[2.75419091 2.79953466],535.2877045202757
382,2.402579366709311,-5.629418641421822,0.1839561912814056,5.632423467806578,[-2.89405243  2.96622757],[2.73536621 2.78227138],536.0114595994023
383,2.4088688414912727,-5.594855340632335,0.18282264145695892,5.5978415841136,[-2.87842203  2.94794949],[2.71643331 2.76512685],536.7346638625602
384,2.415158316273234,-5.560093521681383,0.1816969871122267,5.563061546034606,[-2.86270056  2.92979872],[2.69739296 2.74810173],537.4573084876739
385,2.4214477910551957,-5.525135498103069,0.18057927277512364,5.528085667403738,[-2.84688959  2.91177598],[2.67824591 2.7311967 ],538.1793843581061
386,2.427737265837157,-5.489983610371534,0.17946954265948145,5.492916289084558,[-2.8309907   2.89388198],[2.65899291 2.71441243],538.9008820533448
387,2.4340267406191187,-5.454640226495044,0.17836784066330003,5.4575557795666,[-2.8150055   2.87611743],[2.63963472 2.69774959],539.6217918393296
388,2.4403162154010802,-5.419107742633827,0.17727421036700086,5.4220065355858,[-2.79893562  2.85848303],[2.62017213 2.68120882],540.3421036583967
389,2.4466056901830417,-5.38338858374267,0.17618869503171508,5.386270982769795,[-2.7827827   2.84097948],[2.60060588 2.66479079],541.0618071188296
390,2.4528951649650033,-5.347485204239296,0.17511133759756703,5.350351576309111,[-2.76654844  2.82360748],[2.58093676 2.64849615],541.7808914840018
391,2.459184639746965,-5.311400088699565,0.1740421806819774,5.314250801655327,[-2.75023454  2.80636771],[2.56116555 2.63232553],542.4993456610923
392,2.4654741145289267,-5.275135752580649,0.1729812665779713,5.277971175247315,[-2.73384273  2.78926085],[2.54129302 2.61627959],543.2171581893575
393,2.4717635893108882,-5.238694742973278,0.1719286372525115,5.241515245266712,[-2.71737478  2.77228758],[2.52131996 2.60035894],543.9343172279436
394,2.4780530640928498,-5.202079639384312,0.17088433434484118,5.204885592423842,[-2.70083247  2.75544857],[2.50124717 2.58456424],544.6508105432182
395,2.4843425388748113,-5.165293054550782,0.16984839916482786,5.168084830775265,[-2.68421761  2.73874449],[2.48107544 2.56889609],545.366625495606
396,2.490632013656773,-5.128337635286776,0.16882087269133716,5.131115608574321,[-2.66753207  2.72217599],[2.46080556 2.55335512],546.081749025905
397,2.4969214884387343,-5.091216063364415,0.16780179557059993,5.093980609155925,[-2.65077772  2.70574374],[2.44043834 2.53794194],546.7961676410652
398,2.503210963220696,-5.053931056430349,0.16679120811462766,5.056682551857049,[-2.63395647  2.68944838],[2.41997458 2.52265717],547.5098673994075
399,2.5095004380026573,-5.0164853689591204,0.1657891502995894,5.019224192974248,[-2.61707027  2.67329056],[2.3994151  2.50750141],548.2228338952627
400,2.515789912784619,-4.978881793244927,0.16479566176425164,4.981608326759756,[-2.6001211   2.65727091],[2.37876069 2.49247525],548.9350522430052
401,2.5220793875665803,-4.9411231604332375,0.1638107818083987,4.943837786457645,[-2.58311096  2.64139008],[2.3580122  2.47757929],549.6465070604597
402,2.528368862348542,-4.9032123415938536,0.1628345493912864,4.9059154453816,[-2.56604192  2.62564868],[2.33717042 2.46281413],550.357182451658
403,2.5346583371305034,-4.865152248836981,0.16186700313009394,4.867844218035932,[-2.54891606  2.61004734],[2.31623619 2.44818034],551.0670619889175
404,2.5409478119124653,-4.826945836473989,0.16090818129839812,4.8296270612814745,[-2.5317355   2.59458668],[2.29521034 2.4336785 ],551.7761286942203
405,2.547237286694427,-4.7885961022245445,0.15995812182466418,4.791266975548093,[-2.51450241  2.57926732],[2.2740937  2.41930919],552.4843650198616
406,2.5535267614763884,-4.7501060884718225,0.1590168622907382,4.752767006095488,[-2.49721899  2.56408984],[2.2528871  2.40507298],553.1917528283448
407,2.55981623625835,-4.711478883567628,0.1580844399303638,4.714130244324159,[-2.47988751  2.54905487],[2.23159138 2.39097043],553.898273371493
408,2.5661057110403114,-4.672717623189184,0.15716089162771185,4.675359829138287,[-2.46251024  2.53416298],[2.21020738 2.37700209],554.6039072687488
409,2.572395185822273,-4.633825491749496,0.15624625391591618,4.636458948362447,[-2.44508954  2.51941478],[2.18873595 2.36316852],555.3086344846344
410,2.5786846606042344,-4.594805723863117,0.15534056297563437,4.597430840214005,[-2.42762778  2.50481084],[2.16717795 2.34947027],556.0124343053415
411,2.584974135386196,-4.555661605869277,0.15444385463361066,4.558278794833147,[-2.41012739  2.49035174],[2.14553421 2.33590788],556.7152853144202
412,2.5912636101681574,-4.516396477414295,0.15355616436125974,4.519006155872505,[-2.39259087  2.47603805],[2.12380561 2.32248188],557.4171653675392
413,2.597553084950119,-4.477013733095226,0.15267752727327055,4.479616322148307,[-2.37502074  2.46187034],[2.10199299 2.30919281],558.1180515662818
414,2.6038425597320805,-4.437516824166705,0.15180797812621005,4.440112749355057,[-2.3574196   2.44784917],[2.08009722 2.2960412 ],558.817920230953
415,2.610132034514042,-4.397909260312962,0.15094755131714432,4.400498951845704,[-2.33979009  2.4339751 ],[2.05811917 2.28302755],559.5167468723578
416,2.6164215092960035,-4.358194611486977,0.150096280882293,4.360778504479311,[-2.3221349   2.42024867],[2.03605971 2.27015239],560.2145061625288
417,2.6227109840779654,-4.318376509818672,0.1492542004956685,4.320955044538105,[-2.30445681  2.40667043],[2.0139197  2.25741622],560.9111719043657
418,2.629000458859927,-4.278458651594116,0.14842134346774838,4.281032273715922,[-2.28675862  2.3932409 ],[1.99170003 2.24481956],561.6067170001569
419,2.6352899336418885,-4.238444799307526,0.1475977427441606,4.241013960179828,[-2.26904322  2.37996064],[1.96940158 2.2323629 ],562.3011134189564
420,2.64157940842385,-4.198338783787929,0.14678343090437806,4.200903940706806,[-2.25131357  2.36683015],[1.94702522 2.22004672],562.9943321627825
421,2.6478688832058115,-4.158144506402159,0.1459784401604307,4.160706122897186,[-2.23357267  2.35384997],[1.92457184 2.20787153],563.6863432316127
422,2.654158357987773,-4.117865941335818,0.1451828023556292,4.120424487466474,[-2.21582362  2.34102059],[1.90204232 2.19583779],564.3771155871473
423,2.6604478327697345,-4.07750713795367,0.14439654896330412,4.0800630906170605,[-2.19806957  2.32834254],[1.87943757 2.18394599],565.0666171153173
424,2.666737307551696,-4.037072223240816,0.14361971108556792,4.039626066491161,[-2.18031375  2.31581631],[1.85675848 2.17219659],565.754814587513
425,2.6730267823336575,-3.9965654043257732,0.142852319452079,3.999117629706142,[-2.16255947  2.30344239],[1.83400593 2.16059007],566.4416736205123
426,2.679316257115619,-3.955990971086371,0.14209440441882393,3.958542077973156,[-2.14481013  2.29122128],[1.81118084 2.14912688],567.1271586350957
427,2.6856057318975806,-3.915353298839152,0.14134599596692476,3.9179037947997797,[-2.1270692   2.27915347],[1.7882841  2.13780747],567.8112328133296
428,2.691895206679542,-3.874656851112606,0.14060712370144657,3.877207252277011,[-2.10934023  2.26723941],[1.76531662 2.12663229],568.4938580545128
429,2.698184681461504,-3.8339061825042395,0.1398778168502246,3.836457013950634,[-2.09162687  2.2554796 ],[1.74227931 2.11560179],569.1749949297803
430,2.7044741562434655,-3.793105941621136,0.13915810426271769,3.7956577377766236,[-2.07393286  2.2438745 ],[1.71917308 2.10471639],569.8546026353689
431,2.710763631025427,-3.7522608741030443,0.1384480144088549,3.7548141791596423,[-2.05626203  2.23242455],[1.69599884 2.09397654],570.5326389445503
432,2.7170531058073886,-3.7113758257267184,0.1377475753779196,3.7139311940733606,[-2.03861831  2.22113022],[1.67275752 2.08338265],571.2090601582513
433,2.72334258058935,-3.670455745589437,0.1370568148774325,3.673013742260551,[-2.02100573  2.20999196],[1.64945002 2.07293514],571.8838210543845
434,2.7296320553713116,-3.629505689369072,0.1363757602320561,3.632066890510324,[-2.00342841  2.1990102 ],[1.62607728 2.06263444],572.5568748359257
435,2.735921530153273,-3.5885308226572774,0.135704438382517,3.591095816009095,[-1.98589061  2.18818537],[1.60264021 2.05248093],573.2281730777858
436,2.7422110049352346,-3.5475364243614718,0.13504287588453723,3.550105809760963,[-1.96839668  2.17751792],[1.57913975 2.04247504],573.8976656725334
437,2.748500479717196,-3.5065278901704175,0.13439109890778456,3.509102280072304,[-1.95095107  2.16700825],[1.55557682 2.03261715],574.5653007750466
438,2.7547899544991576,-3.465510736077023,0.1337491332348364,3.4680907560942202,[-1.93355838  2.15665678],[1.53195235 2.02290765],575.2310247461766
439,2.761079429281119,-3.424490601950862,0.1331170042601615,3.4270768914153322,[-1.91622331  2.14646393],[1.50826729 2.01334692],575.8947820955386
440,2.7673689040630807,-3.3834732551515936,0.13249473698911585,3.3860664676960988,[-1.89895069  2.13643009],[1.48452256 2.00393535],576.5565154235499
441,2.773658378845042,-3.3424645941729265,0.13188235603695175,3.3450653983343055,[-1.88174548  2.12655567],[1.46071911 1.99467331],577.216165362867
442,2.779947853627004,-3.3014706523052393,0.13127988562784187,3.3040797321498223,[-1.86461277  2.11684105],[1.43685788 1.98556116],577.8736705193945
443,2.7862373284089657,-3.2604976013031717,0.1306873495939307,3.2631156570749407,[-1.84755779  2.10728662],[1.41293981 1.97659927],578.5289674130642
444,2.792526803190927,-3.2195517550424793,0.13010477137437815,3.2221795038345533,[-1.83058591  2.09789275],[1.38896585 1.96778798],579.1819904186126
445,2.7988162779728887,-3.178639573148497,0.1295321740144426,3.181277749598511,[-1.81370264  2.08865983],[1.36493694 1.95912765],579.8326717066165
446,2.80510575275485,-3.137767664576059,0.1289695801645676,3.140417021585974,[-1.79691363  2.0795882 ],[1.34085404 1.95061862],580.4809411850815
447,2.8113952275368117,-3.096942791118342,0.1284170120794792,3.0996041005991857,[-1.7802247   2.07067824],[1.3167181  1.94226123],581.1267264419143
448,2.817684702318773,-3.056171870819394,0.12787449161731512,3.0588459244613975,[-1.7636418   2.06193029],[1.29253007 1.9340558 ],581.7699526886518
449,2.8239741771007347,-3.01546198126214,0.1273420402387524,3.0181495913306815,[-1.74717107  2.0533447 ],[1.26829091 1.92600266],582.4105427058615
450,2.8302636518826962,-2.9748203627006484,0.12681967900616553,2.977522362858362,[-1.73081878  2.04492182],[1.24400159 1.91810214],583.0484167906751
451,2.8365531266646578,-2.9342544210020485,0.12630742858278676,2.9369716671573904,[-1.71459137  2.03666196],[1.21966305 1.91035453],583.6834927069694
452,2.8428426014466193,-2.8937717303600734,0.12580530923188915,2.896505101542558,[-1.69849546  2.02856547],[1.19527627 1.90276016],584.315685638755
453,2.849132076228581,-2.8533800357384713,0.12531334081599366,2.85613043500071,[-1.68253783  2.02063265],[1.1708422  1.89531931],584.9449081473953
454,2.8554215510105423,-2.813087254998668,0.12483154279607134,2.815855610345244,[-1.66672543  2.01286383],[1.14636182 1.88803229],585.5710701333318
455,2.8617110257925042,-2.772901480662122,0.1243599342307824,2.7756887460052275,[-1.65106538  2.00525931],[1.1218361  1.88089938],586.1940788030541
