,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
741,4.660500813433506,7.817969136818071,0.36849228818309054,7.826648579736433,[3.76237043 5.94180592],[-4.05559871  5.57331363],452.84476904924486
742,4.666790288215468,7.815379091952442,0.37017904446838035,7.824141031186165,[3.75853588 5.96900426],[-4.05684322  5.59882521],453.61953246837174
743,4.67307976299743,7.812426440778886,0.37186628490820794,7.821271726927308,[3.7544992  5.99621041],[-4.05792725  5.62434412],454.3948491151284
744,4.679369237779391,7.8091104894763,0.3735539427597878,7.818039983589247,[3.75025974 6.02342328],[-4.05885075  5.64986934],455.17072613541666
745,4.685658712561353,7.805430546042467,0.37524195126383386,7.814445119845752,[3.74581684 6.05064181],[-4.05961371  5.67539986],455.9471708580574
746,4.691948187343314,7.801385919934054,0.376930243647176,7.81048645606157,[3.74116985 6.07786492],[-4.06021607  5.70093468],456.7241907995752
747,4.698237662125276,7.7969759216937184,0.37861875312542015,7.8061633139263655,[3.7363181  6.10509153],[-4.06065782  5.72647278],457.50179366917035
748,4.704527136907237,7.7921998625637485,0.3803074129055881,7.80147501607545,[3.73126092 6.13232057],[-4.06093895  5.75201315],458.27998737388623
749,4.710816611689199,7.7870570540856585,0.38199615618874905,7.7964208856967305,[3.72599762 6.15955094],[-4.06105943  5.77755479],459.0587800239821
750,4.71710608647116,7.781546807685114,0.38368491617267697,7.791000246123268,[3.72052754 6.18678159],[-4.06101927  5.80309668],459.8381799385168
751,4.723395561253122,7.77566843424149,0.38537362605447445,7.785212420410755,[3.71484997 6.21401143],[-4.06081846  5.82863781],460.6181956511575
752,4.729685036035083,7.769421243641402,0.3870622190332371,7.779056730899271,[3.70896422 6.24123939],[-4.06045702  5.85417717],461.39883591621793
753,4.735974510817045,7.762804544315459,0.38875062831267826,7.772532498758577,[3.70286958 6.26846438],[-4.05993496  5.87971376],462.1801097149418
754,4.742263985599006,7.75581764275748,0.39043878710378,7.765639043516204,[3.69656534 6.29568534],[-4.0592523   5.90524655],462.96202626203797
755,4.748553460380968,7.748459843025319,0.39212662862743564,7.758375682567498,[3.69005078 6.32290118],[-4.05840907  5.93077455],463.7445950124825
756,4.75484293516293,7.740730446222507,0.39381408611708046,7.750741730666834,[3.68332515 6.35011082],[-4.05740529  5.95629674],464.52782566859673
757,4.761132409944891,7.732628749959734,0.39550109282135093,7.74273649939908,[3.67638773 6.3773132 ],[-4.05624102  5.98181211],465.31172818741766
758,4.767421884726853,7.724154047795256,0.3971875820067092,7.73435929663034,[3.66923776 6.40450723],[-4.05491629  6.00731965],466.0963127883713
