,x,y,z
117,-25611.906219931552,3711.004333084539,5.4569682106375694e-12
118,-25753.754051508175,3629.1557464337566,7.275957614183426e-12
119,-25893.03887864238,3545.982784675235,9.094947017729282e-12
120,-26029.619740028214,3461.5328233440587,9.094947017729282e-12
121,-26163.35679330325,3375.8586560323774,7.275957614183426e-12
122,-26294.112796271304,3289.018141434861,1.0913936421275139e-11
123,-26421.75472267701,3201.073649157328,9.094947017729282e-12
124,-26546.155289647548,3112.091419885136,9.094947017729282e-12
125,-26667.194486866938,3022.1407580772957,7.275957614183426e-12
126,-26784.760890305995,2931.293192053011,7.275957614183426e-12
127,-26898.752804048643,2839.6215693122595,7.275957614183426e-12
128,-27009.079097391394,2747.1991945616974,9.094947017729282e-12
129,-27115.659754964516,2654.0990210620266,9.094947017729282e-12
130,-27218.426193707746,2560.3928740227393,9.094947017729282e-12
131,-27317.321180360806,2466.1508893381897,7.275957614183426e-12
132,-27412.298582187555,2371.4410110306426,9.094947017729282e-12
133,-27503.32294431341,2276.328580209719,7.275957614183426e-12
134,-27590.368785944913,2180.876173171475,7.275957614183426e-12
135,-27673.419923635953,2085.143417404154,7.275957614183426e-12
136,-27752.468671574614,1989.1869618614064,9.094947017729282e-12
137,-27827.515009586685,1893.0605408315796,9.094947017729282e-12
138,-27898.565806305145,1796.815043031549,5.4569682106375694e-12
139,-27965.634029787758,1700.498681738285,5.4569682106375694e-12
140,-28028.942676490453,1603.8346151212554,9.094947017729282e-12
141,-28088.541927337385,1506.7542932212227,5.4569682106375694e-12
142,-28144.405220832738,1409.3020646696368,5.4569682106375694e-12
143,-28196.50968922617,1311.5231456408146,7.275957614183426e-12
144,-28244.836350648045,1213.4634196638171,7.275957614183426e-12
145,-28289.370208724813,1115.169354125449,5.4569682106375694e-12
146,-28330.100384229532,1016.687801862593,7.275957614183426e-12
147,-28367.020186022623,918.0658616944629,3.637978807091713e-12
148,-28400.127140409695,819.350791008952,5.4569682106375694e-12
149,-28429.423036796295,720.5898142611095,3.637978807091713e-12
150,-28454.913919117946,621.8300061331829,3.637978807091713e-12
151,-28476.61005452817,523.1181948650692,5.4569682106375694e-12
152,-28494.52589213212,424.50084114401125,5.4569682106375694e-12
153,-28508.679999150932,326.02394195859415,5.4569682106375694e-12
154,-28519.09498163268,227.7329541398758,5.4569682106375694e-12
155,-28525.79739390604,129.6727559343517,7.275957614183426e-12
156,-28528.81764735283,31.88758224081448,7.275957614183426e-12
157,-28528.189914957948,-65.57892205031112,5.4569682106375694e-12
158,-28523.952053840832,-162.6836636276621,7.275957614183426e-12
159,-28516.145576392857,-259.38372452900603,9.094947017729282e-12
160,-28504.815729911374,-355.6358464204113,7.275957614183426e-12
161,-28490.011895084266,-451.3947614970193,9.094947017729282e-12
162,-28471.78888333994,-546.6090144079608,5.4569682106375694e-12
163,-28450.211530119916,-641.2071499717549,7.275957614183426e-12
164,-28425.3742210094,-735.0418313694618,7.275957614183426e-12
165,-28397.52607650878,-827.5411202035257,7.275957614183426e-12
166,-28368.56202639037,-913.710020383849,7.275957614183426e-12
167,-28334.44787281717,-1005.5894509229693,7.275957614183426e-12
168,-28296.42049650621,-1098.7732592682369,9.094947017729282e-12
169,-28254.614473292975,-1192.6006414057238,9.094947017729282e-12
170,-28209.030526809795,-1286.864969219493,9.094947017729282e-12
171,-28159.641811304224,-1381.4609429739412,9.094947017729282e-12
172,-28106.414715627176,-1476.3158700885097,1.0913936421275139e-11
173,-28049.315063745285,-1571.3696754570492,9.094947017729282e-12
174,-27988.31061154903,-1666.5674644231149,1.0913936421275139e-11
175,-27923.372364400242,-1761.8562330333243,9.094947017729282e-12
176,-27854.475444578442,-1857.1832370238117,9.094947017729282e-12
177,-27781.599869701684,-1952.4949871141262,1.0913936421275139e-11
178,-27704.73121407818,-2047.7367034941626,9.094947017729282e-12
179,-27623.861290393183,-2142.851928446981,1.2732925824820995e-11
180,-27538.988824621385,-2237.7822836666232,1.0913936421275139e-11
181,-27450.120110449167,-2332.46734759667,1.2732925824820995e-11
182,-27357.269677834392,-2426.8445868112176,1.0913936421275139e-11
183,-27260.460883688145,-2520.8494170674794,1.2732925824820995e-11
184,-27159.726499486038,-2614.415291375983,1.2732925824820995e-11
185,-27055.109110427053,-2707.4739710485683,1.4551915228366852e-11
186,-26946.66146730916,-2799.9558115666077,1.2732925824820995e-11
187,-26834.44663410528,-2891.790184373792,1.4551915228366852e-11
188,-26718.537909213177,-2982.906013390775,1.4551915228366852e-11
189,-26599.01861720941,-3073.2323206027404,1.2732925824820995e-11
190,-26475.98161362291,-3162.698885618772,1.4551915228366852e-11
191,-26349.5285777333,-3251.236932786624,1.2732925824820995e-11
192,-26219.769151818335,-3338.7797927133834,1.4551915228366852e-11
193,-26086.819820558645,-3425.2636041775613,1.2732925824820995e-11
194,-25950.802798251487,-3510.627873152412,1.4551915228366852e-11
195,-25811.844728080345,-3594.8160304829844,1.4551915228366852e-11
196,-25670.075403643506,-3677.775859684627,1.2732925824820995e-11
197,-25525.626525090684,-3759.4598099780433,1.2732925824820995e-11
198,-25378.630544102252,-3839.8251847757138,1.2732925824820995e-11
199,-25229.219577030573,-3918.8342387759635,1.4551915228366852e-11
200,-25077.524477060702,-3996.4541538401154,1.0913936421275139e-11
201,-24923.674048382578,-4072.6569252044364,1.2732925824820995e-11
202,-24767.79440826195,-4147.419172694314,1.4551915228366852e-11
203,-24610.00849814287,-4220.7218915612475,1.2732925824820995e-11
204,-24450.435716535052,-4292.550167819194,1.4551915228366852e-11
205,-24289.1916988599,-4362.892855481194,1.4551915228366852e-11
206,-24126.38814405781,-4431.742266718435,1.2732925824820995e-11
207,-23962.132784274105,-4499.093835175583,1.2732925824820995e-11
208,-23796.52938648917,-4564.9458034857935,1.2732925824820995e-11
209,-23629.677815174,-4629.298921348836,1.2732925824820995e-11
210,-23461.674130383642,-4692.156163769381,1.2732925824820995e-11
211,-23292.610727321833,-4753.5224655728125,1.2732925824820995e-11
212,-23122.57646686641,-4813.404488763965,1.2732925824820995e-11
213,-22951.656855140627,-4871.810398796277,1.4551915228366852e-11
214,-22779.93418228299,-4928.749679402679,1.2732925824820995e-11
215,-22607.487705649088,-4984.232953234972,1.2732925824820995e-11
216,-22434.393792941933,-5038.271834916708,1.2732925824820995e-11
217,-22260.7260800771,-5090.878795363336,1.2732925824820995e-11
