,Area/Area_cr,SubsonicOnly,Subsonic/Supersonic,Supersonic/Subsonic,SupersonicOnly
975,2.99555085692663,0.19775635143893955,8.426257772805926,0.19775635143893955,8.426257772805926
976,2.9959136471813554,0.1977312347920352,8.427365737696597,0.1977312347920352,8.427365737696597
977,2.9962610407480246,0.19770719021595803,8.428426669872325,0.19770719021595803,8.428426669872325
978,2.99659303225598,0.19768421728284893,8.429440554377095,0.19768421728284893,8.429440554377095
979,2.996909616572679,0.19766231558394895,8.430407376917755,0.19766231558394895,8.430407376917755
980,2.9972107888037716,0.19764148472958815,8.431327123864225,0.19764148472958815,8.431327123864225
981,2.9974965442931767,0.19762172434917452,8.43219978224979,0.19762172434917452,8.43219978224979
982,2.9977668786231533,0.1976030340911835,8.433025339771286,0.1976030340911835,8.433025339771286
983,2.9980217876143698,0.1975854136231479,8.433803784789356,0.1975854136231479,8.433803784789356
984,2.9982612673259683,0.19756886263164897,8.434535106328623,0.19756886263164897,8.434535106328623
985,2.9984853140556256,0.19755338082230703,8.43521929407792,0.19755338082230703,8.43521929407792
986,2.9986939243396105,0.19753896791977363,8.43585633839045,0.19753896791977363,8.43585633839045
987,2.9988870949528357,0.1975256236677234,8.43644623028396,0.1975256236677234,8.43644623028396
988,2.9990648229089105,0.19751334782884716,8.436988961440912,0.19751334782884716,8.436988961440912
989,2.999227105460185,0.1975021401848451,8.43748452420863,0.1975021401848451,8.43748452420863
990,2.9993739400977937,0.19749200053642044,8.437932911599427,0.19749200053642044,8.437932911599427
991,2.9995053245516927,0.19748292870327416,8.438334117290726,0.19748292870327416,8.438334117290726
992,2.999621256790697,0.19747492452409962,8.438688135625199,0.19747492452409962,8.438688135625199
993,2.99972173502251,0.19746798785657826,8.438994961610835,0.19746798785657826,8.438994961610835
994,2.9998067576937517,0.19746211857737522,8.43925459092105,0.19746211857737522,8.43925459092105
995,2.9998763234899837,0.19745731658213625,8.43946701989476,0.19745731658213625,8.43946701989476
996,2.999930431335728,0.19745358178548472,8.439632245536437,0.19745358178548472,8.439632245536437
997,2.999969080394485,0.19745091412101884,8.439750265516174,0.19745091412101884,8.439750265516174
998,2.9999922700687454,0.19744931354131037,8.439821078169725,0.19744931354131037,8.439821078169725
999,3.0,0.19744878001790267,8.439844682498526,0.19744878001790267,8.439844682498526
