,SubsonicOnly,Subsonic/Supersonic,Supersonic/Subsonic,SupersonicOnly
910,0.9720289106977709,8.353782555772325e-05,0.9720289106977709,8.353782555772325e-05
911,0.9720552224210508,8.326762395087509e-05,0.9720552224210508,8.326762395087509e-05
912,0.9720812118018057,8.300133760988537e-05,0.9720812118018057,8.300133760988537e-05
913,0.9721068797161992,8.273893444864802e-05,0.9721068797161992,8.273893444864802e-05
914,0.9721322270290661,8.248038290993231e-05,0.9721322270290661,8.248038290993231e-05
915,0.9721572545939621,8.222565195910944e-05,0.9721572545939621,8.222565195910944e-05
916,0.972181963253207,8.197471107799196e-05,0.972181963253207,8.197471107799196e-05
917,0.9722063538379315,8.17275302587869e-05,0.9722063538379315,8.17275302587869e-05
918,0.972230427168122,8.148407999816016e-05,0.972230427168122,8.148407999816016e-05
919,0.9722541840526632,8.124433129141059e-05,0.9722541840526632,8.124433129141059e-05
920,0.9722776252893857,8.100825562675134e-05,0.9722776252893857,8.100825562675134e-05
921,0.9723007516651034,8.077582497969786e-05,0.9723007516651034,8.077582497969786e-05
922,0.9723235639556613,8.054701180756134e-05,0.9723235639556613,8.054701180756134e-05
923,0.9723460629259746,8.032178904404545e-05,0.9723460629259746,8.032178904404545e-05
924,0.9723682493300696,8.010013009394408e-05,0.9723682493300696,8.010013009394408e-05
925,0.972390123911126,7.98820088279409e-05,0.972390123911126,7.98820088279409e-05
926,0.9724116874015151,7.966739957750727e-05,0.9724116874015151,7.966739957750727e-05
927,0.9724329405228405,7.945627712989815e-05,0.9724329405228405,7.945627712989815e-05
928,0.9724538839859771,7.924861672324445e-05,0.9724538839859771,7.924861672324445e-05
929,0.972474518491109,7.904439404174079e-05,0.972474518491109,7.904439404174079e-05
930,0.9724948447277655,7.884358521092558e-05,0.9724948447277655,7.884358521092558e-05
931,0.9725148633748614,7.864616679305625e-05,0.9725148633748614,7.864616679305625e-05
932,0.9725345751007312,7.845211578257312e-05,0.9725345751007312,7.845211578257312e-05
933,0.9725539805631661,7.826140960165571e-05,0.9725539805631661,7.826140960165571e-05
934,0.9725730804094491,7.807402609586571e-05,0.9725730804094491,7.807402609586571e-05
935,0.9725918752763886,7.788994352988003e-05,0.9725918752763886,7.788994352988003e-05
936,0.9726103657903554,7.77091405833082e-05,0.9726103657903554,7.77091405833082e-05
937,0.9726285525673134,7.753159634659719e-05,0.9726285525673134,7.753159634659719e-05
938,0.9726464362128546,7.735729031701964e-05,0.9726464362128546,7.735729031701964e-05
939,0.9726640173222312,7.718620239474554e-05,0.9726640173222312,7.718620239474554e-05
940,0.9726812964803868,7.701831287899687e-05,0.9726812964803868,7.701831287899687e-05
