,i,a,e,f,g
262,4.576472020946907,6978.000038267015,5.48395184282277e-09,3.1763735522036263e-22,-9.094947017729282e-13
263,4.576472020937263,6978.000038407607,5.504099571224025e-09,1.3234889800848443e-22,-9.094947017729282e-13
264,4.5764720209276195,6978.0000385482,5.524247737315169e-09,-1.852884572118782e-22,-9.094947017729282e-13
265,4.576472020917976,6978.000038688792,5.544395594723412e-09,-5.293955920339377e-22,-9.094947017729282e-13
266,4.576472020908331,6978.000038829386,5.56454375114082e-09,4.764560328305439e-22,-9.094947017729282e-13
267,4.576472020898687,6978.000038969979,5.584691851271963e-09,5.293955920339377e-23,-9.094947017729282e-13
268,4.576472020889043,6978.000039110571,5.6048398485526455e-09,-1.852884572118782e-22,-9.094947017729282e-13
269,4.576472020879399,6978.000039251164,5.6249877232176505e-09,-5.029258124322408e-22,-9.094947017729282e-13
270,4.576472020869755,6978.000039391757,5.645135766762654e-09,4.499862532288471e-22,-9.094947017729282e-13
271,4.576472020860111,6978.0000395323505,5.665283807258009e-09,5.293955920339377e-23,0.0
272,4.576472020850467,6978.000039672944,5.685431952829206e-09,-2.9116757561866574e-22,0.0
273,4.576472020840822,6978.000039813537,5.7055799928450706e-09,6.088049308390284e-22,0.0
274,4.576472020831178,6978.00003995413,5.7257280716231196e-09,2.9116757561866574e-22,-9.094947017729282e-13
275,4.576472020821535,6978.000040094723,5.745876092038022e-09,-5.293955920339377e-23,-9.094947017729282e-13
276,4.576472020811891,6978.000040235316,5.766024234600377e-09,-3.705769144237564e-22,-9.094947017729282e-13
277,4.576472020802246,6978.0000403759095,5.786172346686199e-09,5.293955920339377e-22,-9.094947017729282e-13
278,4.576472020792602,6978.000040516503,5.8063203673869985e-09,1.852884572118782e-22,-9.094947017729282e-13
279,4.576472020782958,6978.000040657096,5.826468421652589e-09,-1.852884572118782e-22,-9.094947017729282e-13
280,4.5764720207733145,6978.00004079769,5.846616617602745e-09,-5.823351512373315e-22,-9.094947017729282e-13
281,4.57647202076367,6978.000040938283,5.866764594943526e-09,3.705769144237564e-22,-9.094947017729282e-13
282,4.576472020754026,6978.000041078876,5.8869127805140695e-09,5.293955920339377e-23,-9.094947017729282e-13
283,4.576472020744382,6978.00004121947,5.907060980540341e-09,-4.235164736271502e-22,-9.094947017729282e-13
284,4.576472020734737,6978.000041360064,5.927209097950074e-09,5.293955920339377e-22,-9.094947017729282e-13
285,4.5764720207250935,6978.000041500657,5.947357165994396e-09,1.3234889800848443e-22,-1.8189894035458565e-12
286,4.57647202071545,6978.000041641251,5.967505328962576e-09,-2.3822801641527197e-22,-1.8189894035458565e-12
287,4.576472020705805,6978.000041781845,5.987653356946108e-09,6.352747104407253e-22,-9.094947017729282e-13
288,4.576472020696161,6978.000041922438,6.007801452213118e-09,2.3822801641527197e-22,-9.094947017729282e-13
289,4.576472020686517,6978.000042063032,6.027949759064141e-09,-2.3822801641527197e-22,-1.8189894035458565e-12
290,4.5764720206768725,6978.000042203626,6.048097897848797e-09,6.352747104407253e-22,-9.094947017729282e-13
291,4.576472020667229,6978.00004234422,6.068245940555913e-09,2.9116757561866574e-22,0.0
292,4.576472020657585,6978.000042484814,6.088394161782219e-09,-2.117582368135751e-22,0.0
293,4.576472020647941,6978.000042625407,6.10854233161252e-09,-5.293955920339377e-22,-1.8189894035458565e-12
294,4.576472020638296,6978.000042766002,6.1286904303267495e-09,3.1763735522036263e-22,-9.094947017729282e-13
295,4.576472020628652,6978.000042906596,6.148838672000624e-09,-2.117582368135751e-22,-9.094947017729282e-13
296,4.576472020619009,6978.00004304719,6.168986945265108e-09,-6.088049308390284e-22,-1.8189894035458565e-12
297,4.576472020609364,6978.000043187784,6.18913505384687e-09,1.5881867761018131e-22,-9.094947017729282e-13
298,4.57647202059972,6978.0000433283785,6.209283277389901e-09,-2.117582368135751e-22,-9.094947017729282e-13
299,4.576472020590076,6978.000043468972,6.229431438950117e-09,-6.088049308390284e-22,-9.094947017729282e-13
300,4.5764720205804315,6978.000043609566,6.2495796878391436e-09,2.6469779601696886e-22,-1.8189894035458565e-12
301,4.576472020570788,6978.00004375016,6.269727847095912e-09,-2.117582368135751e-22,-9.094947017729282e-13
302,4.576472020561143,6978.000043890755,6.289876138390132e-09,5.823351512373315e-22,-1.8189894035458565e-12
303,4.576472020551499,6978.000044031349,6.31002424008531e-09,1.5881867761018131e-22,-9.094947017729282e-13
304,4.576472020541855,6978.000044171944,6.330172612690688e-09,-3.970466940254533e-22,-9.094947017729282e-13
305,4.5764720205322105,6978.000044312537,6.350320690723635e-09,5.558653716356346e-22,-9.094947017729282e-13
306,4.576472020522567,6978.0000444531315,6.370468939683011e-09,1.3234889800848443e-22,-9.094947017729282e-13
307,4.576472020512923,6978.000044593727,6.390617238135886e-09,-4.764560328305439e-22,-9.094947017729282e-13
308,4.576472020503278,6978.000044734321,6.410765530195069e-09,3.970466940254533e-22,-1.8189894035458565e-12
309,4.576472020493634,6978.000044874916,6.430913824793876e-09,-1.5881867761018131e-22,-9.094947017729282e-13
310,4.57647202048399,6978.00004501551,6.451062010498938e-09,-6.352747104407253e-22,-9.094947017729282e-13
311,4.576472020474346,6978.0000451561045,6.471210265289965e-09,2.3822801641527197e-22,-9.094947017729282e-13
312,4.576472020464702,6978.0000452967,6.491358550084812e-09,-3.970466940254533e-22,-9.094947017729282e-13
313,4.576472020455057,6978.000045437294,6.511506856980154e-09,5.293955920339377e-22,-1.8189894035458565e-12
314,4.576472020445413,6978.000045577889,6.531655166240082e-09,-5.293955920339377e-23,-9.094947017729282e-13
315,4.576472020435769,6978.000045718484,6.551803450630791e-09,-6.088049308390284e-22,0.0
316,4.576472020426125,6978.000045859079,6.571951745918545e-09,1.5881867761018131e-22,0.0
317,4.576472020416481,6978.000045999674,6.592100157735172e-09,-2.9116757561866574e-22,-1.8189894035458565e-12
318,4.576472020406836,6978.000046140269,6.612248364457641e-09,4.764560328305439e-22,-9.094947017729282e-13
319,4.576472020397192,6978.000046280863,6.632396549045158e-09,0.0,0.0
320,4.576472020387548,6978.000046421458,6.652544872614655e-09,-6.088049308390284e-22,0.0
321,4.576472020377904,6978.000046562053,6.672693332279442e-09,1.852884572118782e-22,-9.094947017729282e-13
322,4.57647202036826,6978.000046702649,6.692841772942111e-09,-3.970466940254533e-22,-9.094947017729282e-13
323,4.576472020358615,6978.000046843244,6.712989967194686e-09,3.705769144237564e-22,-9.094947017729282e-13
324,4.576472020348971,6978.000046983839,6.7331383199934576e-09,-2.117582368135751e-22,0.0
325,4.5764720203393265,6978.000047124434,6.7532867342797134e-09,5.823351512373315e-22,-9.094947017729282e-13
326,4.576472020329683,6978.000047265029,6.773435054959477e-09,5.293955920339377e-23,-9.094947017729282e-13
327,4.576472020320039,6978.000047405625,6.793583556682633e-09,-6.352747104407253e-22,-1.8189894035458565e-12
328,4.576472020310394,6978.00004754622,6.813731937170181e-09,1.852884572118782e-22,-1.8189894035458565e-12
